version1,version2,v1_wins,v2_wins,draws,v1_win_rate,v2_win_rate,draw_rate,total_matches
v2,v3,100,100,0,0.5,0.5,0.0,200
v2,v4,0,100,100,0.0,0.5,0.5,200
v2,v5,100,100,0,0.5,0.5,0.0,200
v2,v6,100,100,0,0.5,0.5,0.0,200
v2,v7,100,100,0,0.5,0.5,0.0,200
v3,v4,100,100,0,0.5,0.5,0.0,200
v3,v5,200,0,0,1.0,0.0,0.0,200
v3,v6,200,0,0,1.0,0.0,0.0,200
v3,v7,200,0,0,1.0,0.0,0.0,200
v4,v5,100,100,0,0.5,0.5,0.0,200
v4,v6,100,100,0,0.5,0.5,0.0,200
v4,v7,0,200,0,0.0,1.0,0.0,200
v5,v6,100,100,0,0.5,0.5,0.0,200
v5,v7,200,0,0,1.0,0.0,0.0,200
v6,v7,200,0,0,1.0,0.0,0.0,200
